id,client_id,montant,transaction_type,date
1,1007,694,achat,2023-07-03
2,1011,755,achat,2023-01-02
3,1006,741,retrait,2023-04-30
4,1001,443,achat,2023-07-09
5,1002,444,retrait,2023-10-15
6,1004,802,remboursement,2023-05-20
7,1014,560,retrait,2023-11-05
8,1020,383,achat,2023-10-23
9,1015,1333,achat,2023-01-06
10,1002,1479,retrait,2023-06-01
11,1009,1164,virement,2023-05-27
12,1001,210,virement,2023-03-28
13,1017,1478,paiement,2023-10-12
14,1002,369,achat,2023-07-15
15,1008,945,paiement,2023-07-02
16,1006,1229,remboursement,2023-09-19
17,1010,817,achat,2023-08-24
18,1003,1294,virement,2023-03-06
19,1013,1679,paiement,2023-08-15
20,1002,682,virement,2023-05-23
21,1016,1133,retrait,2023-03-16
22,1011,878,achat,2023-12-09
23,1020,1695,remboursement,2023-11-02
24,1001,906,paiement,2023-05-27
25,1012,1751,virement,2023-05-27
26,1004,1081,paiement,2023-03-31
27,1006,1228,retrait,2023-09-24
28,1014,211,paiement,2023-06-04
29,1009,776,paiement,2023-04-02
30,1002,386,retrait,2023-01-22
31,1006,938,achat,2023-08-04
32,1006,1544,paiement,2023-07-13
33,1002,1133,remboursement,2023-03-13
34,1002,1555,achat,2023-08-17
35,1005,810,retrait,2023-01-27
36,1017,347,achat,2023-01-09
37,1007,697,paiement,2023-06-19
38,1007,1458,remboursement,2023-10-31
39,1006,202,virement,2023-04-11
40,1001,603,retrait,2023-02-13
41,1015,1554,achat,2023-12-03
42,1010,1426,retrait,2023-03-02
43,1019,1477,virement,2023-09-19
44,1014,1013,paiement,2023-05-11
45,1009,1558,remboursement,2023-11-25
46,1014,1089,retrait,2023-09-11
47,1008,695,achat,2023-11-05
48,1015,1031,paiement,2023-02-05
49,1007,298,virement,2023-10-14
50,1011,880,paiement,2023-07-14
51,1003,1040,paiement,2023-04-21
52,1006,1738,achat,2023-10-10
53,1007,1000,achat,2023-06-14
54,1001,1443,virement,2023-06-16
55,1007,702,paiement,2023-03-06
56,1018,560,paiement,2023-05-26
57,1014,525,virement,2023-11-10
58,1015,757,virement,2023-08-12
59,1013,1458,paiement,2023-10-10
60,1005,1879,remboursement,2023-09-04
61,1012,697,achat,2023-12-16
62,1019,1909,remboursement,2023-02-15
63,1014,904,achat,2023-04-03
64,1012,1214,retrait,2023-07-16
65,1001,1834,paiement,2023-05-26
66,1013,291,achat,2023-12-20
67,1019,1820,remboursement,2023-06-25
68,1006,1783,achat,2023-08-21
69,1012,969,paiement,2023-09-21
70,1012,1854,achat,2023-02-06
71,1019,188,achat,2023-10-03
72,1006,785,remboursement,2023-11-09
73,1018,1148,retrait,2023-01-24
74,1008,674,achat,2023-11-09
75,1002,1948,paiement,2023-10-04
76,1020,1982,virement,2023-11-05
77,1019,941,virement,2023-01-29
78,1003,614,retrait,2023-02-21
79,1006,505,paiement,2023-03-07
80,1002,387,retrait,2023-10-05
81,1003,1305,paiement,2023-02-28
82,1015,1824,virement,2023-07-15
83,1005,540,retrait,2023-05-29
84,1020,1601,retrait,2023-10-05
85,1019,1974,paiement,2023-12-13
86,1019,1975,paiement,2023-07-13
87,1018,264,remboursement,2023-11-01
88,1016,921,achat,2023-04-11
89,1011,329,achat,2023-03-02
90,1001,108,retrait,2023-09-15
91,1010,566,virement,2023-07-15
92,1007,165,paiement,2023-12-02
93,1016,291,retrait,2023-07-27
94,1018,382,achat,2023-06-07
95,1007,294,retrait,2023-03-30
96,1020,1687,achat,2023-08-06
97,1009,430,retrait,2023-11-15
98,1012,598,achat,2023-06-02
99,1001,1553,remboursement,2023-05-23
100,1001,751,retrait,2023-12-25
101,1013,1806,virement,2023-08-30
102,1004,1417,achat,2023-06-19
103,1013,1373,retrait,2023-03-15
