client_id,amount,transaction_type,country,timestamp
C00001,101.85,paiement,ES,2025-06-03 14:05:02
C00001,788.44,retrait,DE,2025-05-20 14:05:02
C00002,1823.23,virement,FR,2025-05-29 14:05:02
C00002,70.88,virement,FR,2025-05-30 14:05:02
C00001,875.29,versement,DE,2025-05-18 14:05:02
C00001,1610.33,retrait,ES,2025-05-20 14:05:02
C00001,1141.36,versement,DE,2025-05-28 14:05:02
C00001,353.42,virement,ES,2025-06-15 14:05:02
C00002,1285.91,paiement,DE,2025-06-06 14:05:02
C00002,103.03,virement,FR,2025-05-30 14:05:02
C00001,159.17,virement,ES,2025-06-05 14:05:02
C00906,1483.46,virement,ES,2025-05-23 14:05:02
C00001,1970.57,versement,IT,2025-05-20 14:05:02
C00002,1160.96,versement,IT,2025-05-27 14:05:02
C00001,180.44,achat,IT,2025-05-22 14:05:02
C00002,1792.54,retrait,IT,2025-05-20 14:05:02
C00002,1869.11,achat,DE,2025-05-28 14:05:02
C00001,915.57,paiement,DE,2025-05-31 14:05:02
C00001,58.34,versement,FR,2025-06-12 14:05:02
C00457,320.36,paiement,IT,2025-05-23 14:05:02
C00002,260.4,virement,FR,2025-05-20 14:05:02
C00002,1179.83,achat,DE,2025-05-27 14:05:02
C00423,750.46,versement,IT,2025-06-02 14:05:02
C00001,881.2,virement,DE,2025-05-31 14:05:02
C00002,1900.33,retrait,IT,2025-06-17 14:05:02
C00002,395.9,virement,FR,2025-06-12 14:05:02
C00001,805.14,versement,IT,2025-06-06 14:05:02
C00189,1911.35,virement,DE,2025-06-01 14:05:02
C00002,159.9,paiement,FR,2025-05-24 14:05:02
C00001,438.05,virement,IT,2025-06-08 14:05:02
C00001,1864.44,paiement,IT,2025-06-10 14:05:02
C00001,758.84,paiement,FR,2025-06-09 14:05:02
C00001,140.67,paiement,IT,2025-06-15 14:05:02
C00001,714.73,retrait,FR,2025-06-16 14:05:02
C00001,1755.78,paiement,ES,2025-06-07 14:05:02
C00572,692.14,retrait,ES,2025-06-08 14:05:02
C00002,556.53,versement,ES,2025-06-15 14:05:02
C00002,1776.33,versement,DE,2025-06-10 14:05:02
C00001,877.01,versement,FR,2025-06-09 14:05:02
C00002,784.15,virement,DE,2025-06-16 14:05:02
C00786,773.79,achat,FR,2025-06-10 14:05:02
C00001,593.63,paiement,DE,2025-05-18 14:05:02
C00621,977.97,versement,ES,2025-06-06 14:05:02
C00001,1022.62,versement,IT,2025-06-10 14:05:02
C00001,475.0,virement,FR,2025-05-20 14:05:02
C00002,1916.99,virement,ES,2025-05-18 14:05:02
C00502,1484.89,achat,ES,2025-05-29 14:05:02
C00001,1573.61,retrait,FR,2025-06-13 14:05:02
C00002,872.85,versement,ES,2025-06-12 14:05:02
C00001,150.86,retrait,ES,2025-05-20 14:05:02
C00001,1177.39,achat,DE,2025-06-05 14:05:02
C00001,1426.82,versement,IT,2025-05-19 14:05:02
