orderId,clientId,amount,date
101,365,909.96,2023-03-22
102,364,737.35,2023-06-21
103,989,543.21,2023-02-03
104,235,781.25,2023-06-20
105,400,753.78,2023-12-27
106,746,78.16,2023-06-24
107,110,568.41,2023-03-30
108,437,649.49,2023-05-22
109,836,747.62,2023-05-06
110,604,947.22,2023-09-15
111,665,748.61,2023-03-04
112,17,564.22,2023-03-29
113,908,885.62,2023-08-25
114,769,460.81,2023-05-16
115,715,954.95,2023-01-14
116,925,907.49,2023-06-23
117,745,960.91,2023-08-19
118,469,722.29,2023-11-16
119,525,502.97,2023-05-26
120,554,513.92,2023-06-05
121,920,65.77,2023-08-03
122,128,104.56,2023-10-21
123,883,213.16,2023-05-14
124,129,843.1,2023-05-16
125,936,847.22,2023-10-09
126,710,124.36,2023-06-17
127,555,775.28,2023-05-25
128,449,985.53,2023-05-22
129,376,357.39,2023-05-16
130,535,204.85,2023-05-17
131,748,782.37,2023-05-10
132,743,578.79,2023-08-09
133,918,334.61,2023-10-09
134,989,789.03,2023-04-29
135,383,743.22,2023-05-25
136,985,566.43,2023-11-14
137,811,272.15,2023-03-11
138,514,187.45,2023-02-15
139,464,493.78,2023-11-14
140,88,274.76,2023-03-26
141,535,424.29,2023-08-28
142,900,981.69,2023-08-09
143,388,479.71,2023-12-04
144,668,945.98,2023-03-16
145,80,351.14,2023-05-19
146,850,183.31,2023-07-23
147,453,878.27,2023-07-16
148,896,237.68,2023-03-24
149,208,157.21,2023-09-04
150,79,197.59,2023-02-16
151,815,91.6,2023-05-21
152,235,505.39,2023-09-04
153,706,480.64,2023-02-06
154,904,146.11,2023-05-16
155,911,176.45,2023-08-17
156,84,103.16,2023-03-14
157,445,240.87,2023-07-21
158,23,183.94,2023-10-27
159,250,250.6,2023-07-04
160,339,783.59,2023-11-09
161,634,115.01,2023-06-04
162,66,656.0,2023-08-04
163,429,601.82,2023-06-04
164,703,319.24,2023-12-17
165,658,202.08,2023-07-14
166,243,867.18,2023-01-24
167,561,156.54,2023-04-17
168,850,900.67,2023-10-06
169,914,898.72,2023-06-18
170,715,60.7,2023-03-17
171,338,838.55,2023-02-08
172,897,608.16,2023-09-26
173,731,475.12,2024-01-01
174,549,926.12,2023-09-06
175,806,763.87,2023-08-27
176,599,109.39,2023-02-24
177,300,365.82,2023-07-24
178,802,587.64,2023-12-10
179,254,715.85,2023-10-14
180,570,731.8,2023-08-17
181,225,747.86,2023-09-29
182,124,117.64,2023-06-23
183,25,918.26,2023-08-15
184,472,539.56,2023-09-15
185,277,408.23,2023-06-21
186,868,856.87,2023-03-03
187,336,696.54,2023-11-17
188,391,675.19,2023-08-14
189,595,733.75,2023-12-14
190,200,502.52,2023-03-09
191,794,650.47,2023-08-10
192,739,813.72,2023-02-22
193,845,937.12,2023-11-19
194,197,434.63,2023-03-15
195,187,534.18,2023-03-08
196,287,532.1,2023-02-21
197,102,172.24,2023-02-12
198,734,709.12,2023-10-02
199,146,339.76,2023-08-01
200,307,231.34,2023-06-23
201,80,63.47,2023-10-09
202,682,995.9,2023-06-10
203,525,538.62,2023-04-26
204,833,237.56,2023-11-08
205,191,628.57,2023-12-17
206,898,939.25,2023-02-23
207,572,632.06,2023-11-13
208,542,599.97,2023-11-24
209,213,908.8,2023-01-16
210,56,309.19,2023-02-15
211,734,504.77,2023-10-21
212,208,467.77,2023-07-04
213,335,320.06,2023-03-22
214,833,342.21,2023-07-23
215,929,975.31,2023-05-12
216,475,910.11,2023-10-01
217,827,379.12,2023-08-16
218,913,837.12,2023-01-26
219,979,278.08,2023-06-17
220,460,391.01,2023-08-17
221,625,556.37,2023-12-05
222,785,968.08,2023-06-11
223,452,750.49,2023-08-06
224,787,279.35,2023-11-27
225,234,395.64,2023-02-09
226,883,608.44,2023-01-26
227,789,924.39,2023-07-03
228,20,970.77,2023-02-28
229,542,706.91,2023-08-29
230,613,510.56,2023-07-06
231,892,175.32,2023-08-08
232,147,126.26,2023-02-03
233,324,999.0,2023-11-22
234,283,78.03,2023-05-07
235,933,678.64,2023-09-19
236,650,448.95,2023-05-06
237,434,672.76,2023-03-14
238,961,792.78,2023-05-29
239,846,395.05,2023-11-05
240,697,117.01,2023-08-10
241,928,544.35,2023-05-21
242,464,571.5,2023-08-25
243,299,976.52,2023-02-24
244,995,375.34,2023-07-21
